                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     67,                 1.5926,                 2.0755,                 1.5792,                0.28802,                0.43357,                 0.3209,                0.14548,                 1.9681,                 2.5032,                 1.9144,             0.00061203,             0.00061203,             0.00061203
                     68,                 1.5837,                 2.0251,                 1.5598,                0.36787,                0.40981,                0.32945,                0.14305,                 1.9864,                 2.4992,                 1.9196,             0.00060753,             0.00060753,             0.00060753
                     69,                 1.6044,                 2.0589,                 1.5819,                0.32193,                0.39449,                0.28313,                0.12914,                 1.9847,                 2.5173,                 1.9142,             0.00060303,             0.00060303,             0.00060303
                     70,                 1.5766,                 2.0411,                 1.5649,                0.33682,                0.41006,                0.29919,                0.13103,                 1.9804,                 2.5284,                 1.9221,             0.00059853,             0.00059853,             0.00059853
                     71,                 1.5842,                 2.0537,                 1.5747,                0.34875,                0.39943,                0.32064,                0.14631,                 1.9957,                 2.5039,                 1.9235,             0.00059403,             0.00059403,             0.00059403
                     72,                 1.5988,                 2.0609,                 1.5763,                0.28591,                0.43668,                0.29799,                0.12318,                  1.969,                 2.4911,                 1.9072,             0.00058953,             0.00058953,             0.00058953
                     73,                 1.5624,                 2.0057,                 1.5522,                0.35503,                  0.376,                0.30452,                0.13161,                 1.9781,                 2.4901,                 1.9169,             0.00058503,             0.00058503,             0.00058503
                     74,                 1.5746,                 2.0162,                 1.5641,                0.35277,                0.40663,                0.31311,                0.13836,                 1.9786,                 2.4793,                 1.9268,             0.00058053,             0.00058053,             0.00058053
                     75,                 1.5438,                 1.9776,                  1.549,                 0.4386,                0.38254,                0.32975,                0.14635,                 1.9852,                 2.4636,                 1.9317,             0.00057603,             0.00057603,             0.00057603
                     76,                 1.5666,                 1.9845,                 1.5555,                0.33061,                0.40377,                0.30644,                0.12884,                  1.988,                 2.4729,                 1.9243,             0.00057153,             0.00057153,             0.00057153
                     77,                 1.5585,                 1.9705,                 1.5535,                0.38754,                0.43774,                0.34709,                 0.1422,                 2.0013,                 2.4607,                 1.9346,             0.00056703,             0.00056703,             0.00056703
                     78,                 1.5636,                 1.9741,                 1.5534,                0.36201,                0.43532,                0.32377,                 0.1504,                 1.9943,                 2.4697,                 1.9378,             0.00056253,             0.00056253,             0.00056253
                     79,                   1.54,                 1.9523,                 1.5337,                0.36939,                0.40225,                0.31573,                0.13786,                 1.9995,                 2.4852,                 1.9308,             0.00055804,             0.00055804,             0.00055804
                     80,                 1.5545,                 1.9698,                 1.5481,                0.33877,                0.41605,                0.30895,                0.14042,                  2.025,                 2.4825,                 1.9321,             0.00055354,             0.00055354,             0.00055354
                     81,                 1.5359,                 1.9633,                 1.5416,                0.32425,                 0.4463,                0.30746,                0.13878,                  1.994,                  2.473,                 1.9388,             0.00054904,             0.00054904,             0.00054904
                     82,                 1.5575,                  1.965,                 1.5497,                 0.3829,                0.39056,                0.31746,                0.14222,                 1.9895,                 2.4392,                 1.9293,             0.00054454,             0.00054454,             0.00054454
                     83,                 1.5417,                 1.9304,                 1.5307,                0.37844,                0.40543,                0.30814,                 0.1439,                 1.9895,                 2.4507,                 1.9247,             0.00054004,             0.00054004,             0.00054004
                     84,                 1.5418,                 1.9347,                 1.5337,                0.35889,                0.43249,                0.32923,                0.14813,                 2.0073,                 2.4409,                 1.9381,             0.00053554,             0.00053554,             0.00053554
                     85,                 1.5427,                 1.9151,                 1.5319,                0.36772,                0.43678,                0.31986,                0.14288,                 2.0064,                  2.456,                 1.9422,             0.00053104,             0.00053104,             0.00053104
                     86,                 1.5418,                 1.9156,                 1.5348,                0.37456,                0.40736,                0.31561,                 0.1417,                 2.0024,                 2.4663,                 1.9331,             0.00052654,             0.00052654,             0.00052654
